C,SETP.WORLD,FPP_DCF,AEMO,PUBLIC,2025/04/29,18:23:21,0000000461200046,FPP,0000000461200046
I,FPP,FORECAST_DEFAULT_CF,1,FPP_UNITID,CONSTRAINTID,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,VERSIONNO,BIDTYPE,REGIONID,DEFAULT_CONTRIBUTION_FACTOR,DCF_REASON_FLAG,DCF_ABS_NEGATIVE_PERF_TOTAL,SETTLEMENTS_UNITID
D,FPP,FORECAST_DEFAULT_CF,1,CTHLWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00391574,0,356.21633,CTHLWF1
D,FPP,FORECAST_DEFAULT_CF,1,CULLRGWF,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00060455,0,356.21633,CULLRGWF
D,FPP,FORECAST_DEFAULT_CF,1,DALNTH1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,SA1,-0.00004671,0,356.21633,DALNTH1
D,FPP,FORECAST_DEFAULT_CF,1,DARLSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,NSW1,-0.00220739,0,356.21633,DARLSF1
D,FPP,FORECAST_DEFAULT_CF,1,DARTM1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00271046,0,356.21633,DARTM1
D,FPP,FORECAST_DEFAULT_CF,1,DAYDSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00814295,0,356.21633,DAYDSF1
D,FPP,FORECAST_DEFAULT_CF,1,DDPS1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00094945,0,356.21633,DDPS1
D,FPP,FORECAST_DEFAULT_CF,1,DDSF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,QLD1,-0.00224041,0,356.21633,DDSF1
D,FPP,FORECAST_DEFAULT_CF,1,DEVILS_G,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,TAS1,-0.00013663,0,356.21633,DEVILS_G
D,FPP,FORECAST_DEFAULT_CF,1,DIAPURWF1,F_I+GFT_TG_R5,"2025/04/29 18:20:00","2025/05/04 00:00:00",1,RAISEREG,VIC1,-0.00034454,0,356.21633,DIAPURWF1
